Jurisdiction,Active cases,Locally acquired last 24 hours,Overseas acquired last 24 hours,Under investigation last 24 hours,Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date
SA,5,2,0,0,6,0,0,2021-11-26
QLD,5,0,0,0,3,3,0,2021-11-26
NT,52,0,0,0,27,1,2,2021-11-26
Australia,13492,229,3,1401,3155,27,6479,2021-11-26
ACT,175,8,0,0,91,0,0,2021-11-26
VIC,10887,60,0,1302,2153,1,5894,2021-11-26
NSW,2359,159,3,99,874,18,583,2021-11-26
NSW,2699,147,0,88,906,16,604,2021-11-27
Australia,14192,204,0,1295,2869,24,6893,2021-11-27
ACT,163,7,0,0,84,0,0,2021-11-27
NT,52,1,0,0,27,1,2,2021-11-27
VIC,11257,45,0,1207,1838,1,6287,2021-11-27
SA,8,3,0,0,9,0,0,2021-11-27
TAS,1,0,0,0,1,0,0,2021-11-27
WA,7,0,0,0,0,3,0,2021-11-27
QLD,5,1,0,0,4,3,0,2021-11-27
Australia,14266,383,5,869,2695,27,6836,2021-11-28
ACT,162,7,0,0,75,0,0,2021-11-28
NSW,2703,106,3,76,907,19,613,2021-11-28
NT,53,0,1,0,19,1,0,2021-11-28
QLD,6,3,0,0,7,3,0,2021-11-28
SA,7,0,0,0,9,0,0,2021-11-28
TAS,1,0,0,0,1,0,0,2021-11-28
VIC,11331,267,1,793,1677,2,6223,2021-11-28
WA,3,0,0,0,0,2,0,2021-11-28
WA,3,0,0,0,0,1,0,2021-11-29
ACT,154,7,0,0,71,0,0,2021-11-29
NSW,2669,103,6,41,903,23,583,2021-11-29
NT,58,4,0,0,20,1,0,2021-11-29
QLD,7,0,5,0,7,8,0,2021-11-29
SA,7,1,0,0,10,0,0,2021-11-29
Australia,14399,129,11,1034,2332,35,7154,2021-11-29
TAS,0,0,0,0,0,0,0,2021-11-29
VIC,11501,14,0,993,1321,2,6571,2021-11-29
WA,1,0,0,0,0,1,0,2021-11-30
VIC,11417,258,0,660,1276,2,6702,2021-11-30
TAS,0,0,0,0,0,0,0,2021-11-30
SA,7,0,0,0,10,0,0,2021-11-30
QLD,12,2,0,0,9,7,0,2021-11-30
Australia,14234,378,11,717,2272,43,7283,2021-11-30
NT,58,1,0,0,18,1,0,2021-11-30
NSW,2595,111,11,57,901,32,581,2021-11-30
ACT,144,6,0,0,58,0,0,2021-11-30
NT,57,0,0,0,15,1,0,2021-12-01
Australia,14808,388,8,1044,2204,45,7311,2021-12-01
QLD,14,1,2,0,10,7,0,2021-12-01
SA,8,1,1,0,11,1,0,2021-12-01
TAS,1,0,0,1,0,0,1,2021-12-01
VIC,11959,234,0,945,1209,1,6745,2021-12-01
NSW,2633,148,5,98,912,34,565,2021-12-01
ACT,135,4,0,0,47,0,0,2021-12-01
WA,1,0,0,0,0,1,0,2021-12-01
SA,27,19,0,0,26,1,0,2021-12-02
NT,60,1,2,0,7,3,0,2021-12-02
WA,1,0,0,0,0,0,0,2021-12-02
VIC,12728,301,1,1117,1171,2,6944,2021-12-02
TAS,1,0,0,0,0,0,1,2021-12-02
Australia,15653,505,7,1211,2179,45,7498,2021-12-02
ACT,128,8,0,0,47,0,0,2021-12-02
NSW,2692,173,4,94,918,32,553,2021-12-02
QLD,16,3,0,0,10,7,0,2021-12-02
Australia,15997,500,10,1031,2450,52,7134,2021-12-03
ACT,120,4,0,0,43,0,0,2021-12-03
NSW,2851,169,8,160,928,37,614,2021-12-03
NT,61,1,0,0,8,3,0,2021-12-03
QLD,18,6,0,0,16,7,0,2021-12-03
SA,31,2,0,2,26,1,2,2021-12-03
WA,2,0,1,0,0,1,0,2021-12-03
VIC,12913,318,1,869,1429,3,6517,2021-12-03
TAS,1,0,0,0,0,0,1,2021-12-03
WA,1,0,0,0,0,1,0,2021-12-04
ACT,119,7,0,0,43,0,0,2021-12-04
NSW,2960,176,1,148,955,38,674,2021-12-04
NT,62,1,0,0,8,3,0,2021-12-04
Australia,17586,510,5,1194,2754,57,7040,2021-12-04
SA,36,5,0,0,28,1,2,2021-12-04
VIC,14383,318,2,1045,1702,5,6362,2021-12-04
QLD,24,3,2,1,18,9,1,2021-12-04
TAS,1,0,0,0,0,0,1,2021-12-04
WA,1,0,0,0,0,1,0,2021-12-05
VIC,15433,206,0,774,1649,4,6329,2021-12-05
SA,42,4,1,1,32,2,3,2021-12-05
QLD,30,6,1,0,21,10,1,2021-12-05
TAS,1,0,0,0,0,0,1,2021-12-05
ACT,110,5,1,0,38,1,0,2021-12-05
Australia,18722,410,11,864,2787,63,7021,2021-12-05
NSW,3043,189,8,89,1039,43,687,2021-12-05
NT,62,0,0,0,8,2,0,2021-12-05
NSW,3036,119,6,83,1054,43,729,2021-12-06
ACT,98,5,1,0,38,2,0,2021-12-06
NT,64,2,0,0,6,2,0,2021-12-06
QLD,36,2,1,0,23,6,1,2021-12-06
SA,45,3,1,0,33,3,3,2021-12-06
TAS,1,0,0,0,0,0,1,2021-12-06
Australia,19784,421,9,866,3079,61,6845,2021-12-06
VIC,16503,290,0,783,1925,4,6111,2021-12-06
WA,1,0,0,0,0,1,0,2021-12-06
Australia,16335,147,8,1299,2848,58,7438,2021-12-07
NT,51,0,1,0,6,3,0,2021-12-07
ACT,85,2,1,0,34,3,0,2021-12-07
NSW,3060,113,6,141,1056,38,813,2021-12-07
QLD,38,1,0,0,21,6,1,2021-12-07
SA,49,4,0,0,37,3,3,2021-12-07
WA,1,0,0,0,0,1,0,2021-12-07
TAS,1,0,0,0,0,0,1,2021-12-07
VIC,13050,27,0,1158,1694,4,6620,2021-12-07
WA,1,0,0,0,0,1,0,2021-12-08
VIC,11331,295,0,1017,1755,4,6686,2021-12-08
SA,46,2,1,0,36,3,3,2021-12-08
TAS,1,0,0,0,0,0,0,2021-12-08
NT,35,1,0,0,7,3,0,2021-12-08
NSW,3196,179,2,222,1086,35,937,2021-12-08
ACT,79,8,0,0,38,3,0,2021-12-08
Australia,14728,486,4,1239,2943,54,7627,2021-12-08
QLD,39,1,1,0,21,5,1,2021-12-08
NSW,3372,166,5,249,1079,36,1092,2021-12-09
Australia,14807,427,12,1230,2865,59,7644,2021-12-09
WA,2,0,1,0,0,2,0,2021-12-09
VIC,11224,249,2,981,1703,5,6548,2021-12-09
TAS,1,0,0,0,0,0,0,2021-12-09
SA,51,6,1,0,23,4,3,2021-12-09
QLD,41,0,0,0,18,5,1,2021-12-09
NT,40,3,2,0,9,3,0,2021-12-09
ACT,76,3,1,0,33,4,0,2021-12-09
NT,41,3,0,1,10,3,1,2021-12-10
QLD,38,7,1,0,19,6,1,2021-12-10
Australia,15035,489,9,1250,2850,58,7865,2021-12-10
ACT,73,6,0,0,35,4,0,2021-12-10
NSW,3683,171,4,341,1078,32,1273,2021-12-10
WA,2,0,0,0,0,1,0,2021-12-10
VIC,11145,295,3,908,1680,7,6589,2021-12-10
TAS,0,0,0,0,0,0,0,2021-12-10
SA,53,7,1,0,28,5,1,2021-12-10
Australia,15724,487,10,1277,2810,63,7961,2021-12-11
WA,2,0,0,0,0,1,0,2021-12-11
VIC,11457,251,2,940,1597,7,6498,2021-12-11
TAS,0,0,0,0,0,0,0,2021-12-11
SA,54,7,0,0,30,5,1,2021-12-11
QLD,44,2,0,0,18,4,0,2021-12-11
NT,33,1,0,0,9,3,0,2021-12-11
NSW,4058,217,6,337,1116,37,1462,2021-12-11
ACT,76,9,2,0,40,6,0,2021-12-11
QLD,46,0,1,0,12,4,0,2021-12-12
Australia,15978,429,6,1136,2825,58,8225,2021-12-12
ACT,70,0,1,0,33,6,0,2021-12-12
WA,1,0,0,0,0,1,0,2021-12-12
VIC,11393,276,0,793,1667,7,6509,2021-12-12
NSW,4366,142,3,340,1066,32,1713,2021-12-12
SA,64,7,0,3,34,4,3,2021-12-12
NT,38,4,1,0,13,4,0,2021-12-12
TAS,0,0,0,0,0,0,0,2021-12-12
VIC,11649,258,0,1032,1635,7,6741,2021-12-13
WA,2,0,1,0,0,2,0,2021-12-13
TAS,0,0,0,0,0,0,0,2021-12-13
SA,65,11,2,0,41,5,3,2021-12-13
QLD,47,8,2,0,19,4,0,2021-12-13
NT,40,2,0,0,12,4,0,2021-12-13
NSW,4677,217,5,314,1166,31,1944,2021-12-13
ACT,63,2,1,0,30,6,0,2021-12-13
Australia,16543,498,11,1346,2903,59,8688,2021-12-13
VIC,11051,21,0,1168,1629,7,6760,2021-12-14
Australia,16467,258,10,1761,3015,60,9159,2021-12-14
ACT,60,2,2,0,30,7,0,2021-12-14
NSW,5179,210,6,588,1262,31,2391,2021-12-14
NT,48,15,0,0,27,3,0,2021-12-14
QLD,56,3,1,0,21,5,0,2021-12-14
SA,70,7,0,5,46,4,8,2021-12-14
TAS,0,0,0,0,0,0,0,2021-12-14
WA,3,0,1,0,0,3,0,2021-12-14
NSW,6233,230,4,1126,1303,33,3295,2021-12-15
NT,62,7,7,0,33,10,0,2021-12-15
QLD,56,6,1,1,26,5,1,2021-12-15
TAS,0,0,0,0,0,0,0,2021-12-15
VIC,11518,204,5,1196,1538,12,6944,2021-12-15
WA,3,0,0,0,0,3,0,2021-12-15
ACT,61,6,1,0,28,8,0,2021-12-15
SA,92,19,1,5,64,4,13,2021-12-15
Australia,18025,472,19,2328,2992,75,10253,2021-12-15
VIC,12252,381,4,1237,1670,14,7203,2021-12-16
TAS,1,1,0,0,1,0,0,2021-12-16
SA,108,20,1,3,78,4,16,2021-12-16
QLD,50,15,3,4,41,8,5,2021-12-16
NT,63,1,0,0,32,8,0,2021-12-16
NSW,7647,257,4,1481,1395,32,4527,2021-12-16
ACT,61,10,1,0,35,8,0,2021-12-16
Australia,20185,685,13,2725,3252,76,11751,2021-12-16
WA,3,0,0,0,0,2,0,2021-12-16
VIC,12578,355,7,1148,1746,18,7425,2021-12-17
Australia,22529,829,19,2986,3599,86,13470,2021-12-17
TAS,3,2,0,0,3,0,0,2021-12-17
WA,3,0,0,0,0,2,0,2021-12-17
SA,167,49,3,12,118,6,28,2021-12-17
NSW,9569,384,5,1824,1602,33,6010,2021-12-17
QLD,67,14,4,2,46,11,7,2021-12-17
NT,67,5,0,0,35,8,0,2021-12-17
ACT,75,20,0,0,49,8,0,2021-12-17
VIC,13443,317,5,1182,1743,21,7688,2021-12-18
WA,3,0,0,0,0,2,0,2021-12-18
Australia,25687,757,13,3344,3793,89,15558,2021-12-18
ACT,89,18,0,0,58,6,0,2021-12-18
NT,71,5,0,0,38,8,0,2021-12-18
NSW,11760,367,5,2110,1746,32,7783,2021-12-18
SA,233,35,1,37,146,7,65,2021-12-18
QLD,84,14,2,15,58,13,22,2021-12-18
TAS,4,1,0,0,4,0,0,2021-12-18
NT,76,3,2,0,37,9,0,2021-12-19
ACT,103,14,1,3,72,6,3,2021-12-19
Australia,27749,709,17,3228,4078,101,17652,2021-12-19
NSW,14050,322,11,2233,1933,40,9668,2021-12-19
SA,309,38,0,42,178,7,104,2021-12-19
TAS,7,0,1,2,4,1,2,2021-12-19
VIC,13093,312,1,927,1779,22,7832,2021-12-19
WA,2,0,0,0,0,2,0,2021-12-19
QLD,109,20,1,21,75,14,43,2021-12-19
WA,2,0,0,0,0,1,0,2021-12-20
VIC,13175,314,2,986,1835,24,7770,2021-12-20
TAS,11,3,1,0,7,2,2,2021-12-20
SA,406,40,0,65,206,6,169,2021-12-20
NT,82,6,0,0,41,9,0,2021-12-20
NSW,16225,259,7,2235,1984,42,11570,2021-12-20
ACT,112,9,0,4,79,5,7,2021-12-20
Australia,30155,656,11,3323,4244,102,19594,2021-12-20
QLD,142,25,1,33,92,13,76,2021-12-20
NSW,18798,299,6,2752,2086,42,13710,2021-12-21
NT,93,13,0,0,39,9,0,2021-12-21
QLD,197,18,1,67,107,13,129,2021-12-21
SA,556,26,1,127,224,7,291,2021-12-21
TAS,14,2,0,1,9,2,3,2021-12-21
VIC,13355,368,2,875,2182,26,7472,2021-12-21
WA,3,0,1,0,0,1,0,2021-12-21
Australia,33140,737,12,3826,4735,104,21616,2021-12-21
ACT,124,11,1,4,88,4,11,2021-12-21
NT,93,13,0,0,39,9,0,2021-12-22
NSW,18798,299,6,2752,2086,42,13710,2021-12-22
ACT,124,11,1,4,88,4,11,2021-12-22
WA,3,0,1,0,0,1,0,2021-12-22
TAS,14,2,0,1,9,2,3,2021-12-22
VIC,13355,368,2,875,2182,26,7472,2021-12-22
QLD,197,18,1,67,107,13,129,2021-12-22
Australia,33140,737,12,3826,4735,104,21616,2021-12-22
SA,556,26,1,127,224,7,291,2021-12-22
NT,107,6,0,0,49,2,1,2021-12-24
ACT,334,54,0,48,216,6,88,2021-12-24
NSW,32174,388,7,5217,2610,55,22891,2021-12-24
QLD,807,26,1,562,125,7,1205,2021-12-24
SA,2162,95,0,593,400,1,1373,2021-12-24
TAS,78,8,0,19,19,2,56,2021-12-24
WA,10,0,1,1,2,5,1,2021-12-24
Australia,51143,897,14,8210,5837,131,33929,2021-12-24
VIC,15471,320,5,1770,2416,53,8314,2021-12-24
WA,10,0,1,1,2,5,1,2021-12-25
Australia,51143,897,14,8210,5837,131,33929,2021-12-25
ACT,334,54,0,48,216,6,88,2021-12-25
NSW,32174,388,7,5217,2610,55,22891,2021-12-25
NT,107,6,0,0,49,2,1,2021-12-25
QLD,807,26,1,562,125,7,1205,2021-12-25
SA,2162,95,0,593,400,1,1373,2021-12-25
VIC,15471,320,5,1770,2416,53,8314,2021-12-25
TAS,78,8,0,19,19,2,56,2021-12-25
TAS,159,3,0,41,22,1,134,2021-12-26
WA,18,0,1,0,9,8,1,2021-12-26
VIC,17392,1,2,1605,1801,50,9759,2021-12-26
Australia,66914,418,6,9202,5327,111,45828,2021-12-26
NT,140,19,0,0,73,1,1,2021-12-26
NSW,43351,227,1,6166,2565,40,30557,2021-12-26
QLD,2147,10,1,704,136,5,2596,2021-12-26
SA,3196,153,1,620,518,1,2510,2021-12-26
ACT,511,5,0,66,203,5,270,2021-12-26
WA,20,2,0,0,11,8,1,2021-12-27
TAS,198,6,0,29,25,0,167,2021-12-27
SA,3974,263,0,579,741,1,3020,2021-12-27
QLD,2147,8,0,779,119,4,3334,2021-12-27
NT,156,13,1,0,82,2,1,2021-12-27
NSW,48553,435,1,5888,2741,34,34220,2021-12-27
ACT,688,4,0,185,198,5,448,2021-12-27
VIC,16467,227,0,1772,1714,48,10541,2021-12-27
Australia,72203,958,2,9232,5631,102,51732,2021-12-27
VIC,17821,306,3,2429,1612,49,12092,2021-12-28
TAS,242,10,0,36,31,0,202,2021-12-28
SA,4889,102,0,893,820,1,3790,2021-12-28
QLD,3621,9,0,1149,115,3,4416,2021-12-28
NT,143,9,0,0,77,2,1,2021-12-28
NSW,52459,527,2,5533,2938,30,37027,2021-12-28
ACT,908,9,0,243,196,4,679,2021-12-28
Australia,80106,973,7,10283,5801,98,58208,2021-12-28
WA,23,1,2,0,12,9,1,2021-12-28
NSW,61332,591,0,10610,3138,15,44257,2021-12-29
NT,158,19,0,0,91,2,1,2021-12-29
QLD,4779,15,0,1574,121,3,5800,2021-12-29
WA,23,0,0,0,10,6,1,2021-12-29
TAS,300,13,0,43,41,0,231,2021-12-29
VIC,19994,490,0,3277,1761,36,14226,2021-12-29
ACT,1028,138,0,0,289,2,668,2021-12-29
SA,6316,246,0,1226,1017,1,4862,2021-12-29
Australia,93930,1512,0,16730,6468,65,70046,2021-12-29
Australia,110424,1278,5,20058,6495,38,82670,2021-12-30
WA,28,3,1,1,13,7,2,2021-12-30
VIC,23833,473,2,4662,1790,13,17356,2021-12-30
TAS,377,14,0,77,53,0,291,2021-12-30
SA,7561,46,0,1328,945,1,5812,2021-12-30
QLD,6368,21,0,2201,126,2,7650,2021-12-30
NT,195,20,0,13,102,2,13,2021-12-30
NSW,70928,448,2,11776,3002,13,50896,2021-12-30
ACT,1134,253,0,0,464,0,650,2021-12-30
Australia,137752,1693,4,31249,7274,28,105819,2021-12-31
WA,32,2,3,0,15,9,1,2021-12-31
NSW,89418,548,1,20602,3162,7,66301,2021-12-31
NT,247,48,0,13,143,2,27,2021-12-31
QLD,8586,17,0,3101,117,1,10188,2021-12-31
SA,9243,3,0,2090,853,1,7302,2021-12-31
TAS,524,38,0,99,83,0,379,2021-12-31
VIC,28044,575,0,5344,2045,8,21017,2021-12-31
ACT,1658,462,0,0,856,0,604,2021-12-31
WA,35,2,1,0,10,8,1,2022-01-01
VIC,24161,572,0,6870,2604,7,25731,2022-01-01
SA,10982,442,0,1666,1258,1,8363,2022-01-01
TAS,932,23,0,410,105,0,759,2022-01-01
QLD,11697,5,0,2261,90,1,11716,2022-01-01
NT,299,37,0,13,170,1,40,2022-01-01
NSW,109197,235,0,22342,2950,7,82787,2022-01-01
ACT,1479,448,0,0,1280,0,483,2022-01-01
Australia,158782,1764,1,33562,8467,25,129880,2022-01-01
Australia,188597,811,4,31539,8822,23,152170,2022-01-02
WA,39,4,3,0,14,10,1,2022-01-02
VIC,31461,8,0,7164,2611,5,31234,2022-01-02
ACT,1827,506,0,0,1746,0,420,2022-01-02
NSW,124624,203,0,18075,2926,6,94688,2022-01-02
NT,400,38,0,64,186,1,104,2022-01-02
QLD,16688,30,1,3556,110,1,14585,2022-01-02
SA,12342,14,0,2284,1119,0,10028,2022-01-02
TAS,1216,8,0,396,110,0,1110,2022-01-02
SA,14125,0,0,2552,853,0,11997,2022-01-03
QLD,20239,13,0,4236,110,1,18027,2022-01-03
NT,451,30,4,45,204,4,148,2022-01-03
NSW,141722,373,1,20420,2895,6,109183,2022-01-03
ACT,2116,514,0,0,2146,0,243,2022-01-03
Australia,218505,1555,11,35673,9375,32,178520,2022-01-03
WA,48,5,2,1,17,12,2,2022-01-03
TAS,1686,1,0,465,107,0,1552,2022-01-03
VIC,38118,619,4,7954,3043,9,37368,2022-01-03
WA,53,3,0,11,19,10,13,2022-01-04
ACT,2789,926,0,0,3058,0,0,2022-01-04
NSW,157873,494,0,22637,2862,4,126304,2022-01-04
NT,497,67,4,7,260,8,155,2022-01-04
QLD,25924,17,1,5681,118,2,22563,2022-01-04
SA,16558,123,0,3123,874,0,14228,2022-01-04
TAS,2241,1,0,701,98,0,2218,2022-01-04
VIC,48297,1592,0,12428,4329,6,47326,2022-01-04
Australia,254232,3223,5,44588,11618,30,212807,2022-01-04
NSW,184413,624,0,34430,2895,4,150127,2022-01-05
ACT,3069,810,0,0,3705,0,0,2022-01-05
NT,599,97,2,11,330,10,166,2022-01-05
QLD,25924,28,0,6753,131,2,27738,2022-01-05
SA,19250,358,1,3134,986,1,16139,2022-01-05
Australia,287637,3461,7,61299,13534,37,257206,2022-01-05
VIC,51317,1534,0,16102,5373,6,59981,2022-01-05
WA,68,9,4,3,28,14,16,2022-01-05
TAS,2997,1,0,866,86,0,3039,2022-01-05
NT,803,136,18,58,479,28,210,2022-01-06
SA,21215,69,0,3001,1009,1,17818,2022-01-06
TAS,3533,2,0,749,74,0,3700,2022-01-06
QLD,32312,22,0,10310,132,2,35852,2022-01-06
NSW,207667,277,0,34717,2724,2,173054,2022-01-06
Australia,330289,3818,20,68519,16146,52,305478,2022-01-06
ACT,3565,992,0,0,4483,0,0,2022-01-06
WA,74,7,2,0,32,15,15,2022-01-06
VIC,61120,2313,0,19684,7213,4,74829,2022-01-06
NSW,234066,266,0,38359,2472,1,190603,2022-01-07
NT,1099,196,0,83,625,28,276,2022-01-07
QLD,42250,18,0,10935,133,2,43683,2022-01-07
SA,24901,0,0,3707,1006,1,19436,2022-01-07
TAS,4683,7,0,1484,43,0,5074,2022-01-07
VIC,69680,2239,1,19488,8877,5,88781,2022-01-07
WA,79,3,3,0,33,15,15,2022-01-07
Australia,381269,3975,4,74056,18628,52,347868,2022-01-07
ACT,4511,1246,0,0,5439,0,0,2022-01-07
QLD,52619,32,0,11142,160,2,52501,2022-01-08
ACT,4941,1305,0,0,6374,0,0,2022-01-08
NT,1158,276,2,125,865,30,418,2022-01-08
SA,25877,1011,2,3261,1575,3,21033,2022-01-08
TAS,5337,5,0,1046,25,0,5699,2022-01-08
VIC,83390,2923,0,22005,11228,5,103719,2022-01-08
WA,86,7,1,0,38,15,15,2022-01-08
NSW,268021,267,0,44831,2504,1,213059,2022-01-08
Australia,441429,5826,5,82410,22769,56,396444,2022-01-08
ACT,5766,1039,0,0,7377,0,0,2022-01-09
NSW,292237,25,1,30036,2326,2,224931,2022-01-09
NT,1795,195,1,50,1022,31,459,2022-01-09
TAS,5493,9,0,591,26,0,5853,2022-01-09
SA,27762,1235,8,3263,2796,11,22018,2022-01-09
Australia,495141,2580,10,69649,25008,62,435113,2022-01-09
WA,84,2,0,0,36,12,15,2022-01-09
QLD,62919,68,0,13612,198,1,62549,2022-01-09
VIC,99085,7,0,22097,11227,5,119288,2022-01-09
NSW,303795,144,1,20148,2097,2,224603,2022-01-10
ACT,5681,938,0,0,7940,0,0,2022-01-10
NT,2170,179,3,150,1226,30,564,2022-01-10
QLD,80563,11,0,5856,196,1,64168,2022-01-10
SA,29489,1090,6,2928,3886,17,22401,2022-01-10
TAS,5119,15,2,380,40,2,5753,2022-01-10
VIC,161065,2510,0,15108,13118,1,127535,2022-01-10
WA,89,7,1,0,38,11,14,2022-01-10
Australia,587971,4894,13,44570,28541,64,445038,2022-01-10
VIC,171369,2041,0,17450,13567,1,134380,2022-01-11
Australia,612619,4635,15,62175,30549,74,464331,2022-01-11
WA,100,14,1,0,49,12,3,2022-01-11
TAS,4581,1,0,362,40,2,5404,2022-01-11
ACT,6302,1508,0,0,9110,0,0,2022-01-11
NSW,315785,237,1,25632,1840,3,227427,2022-01-11
NT,2513,35,8,234,1202,34,903,2022-01-11
QLD,81581,5,0,16375,184,0,74855,2022-01-11
SA,30388,794,5,2122,4557,22,21359,2022-01-11
QLD,81581,5,0,16375,184,0,74855,2022-01-12
TAS,4581,1,0,362,40,2,5404,2022-01-12
NSW,315785,237,1,25632,1840,3,227427,2022-01-12
ACT,6302,1508,0,0,9110,0,0,2022-01-12
Australia,612619,4635,15,62175,30549,74,464331,2022-01-12
VIC,171369,2041,0,17450,13567,1,134380,2022-01-12
WA,100,14,1,0,49,12,3,2022-01-12
SA,30388,794,5,2122,4557,22,21359,2022-01-12
NT,2513,35,8,234,1202,34,903,2022-01-12
